,City,Lat,Long,Date,Cloudiness,Humidity,Max Temp,Min Temp,Windspeed,Lng
341,hofn,64.2539, ,1627344428,97,82,52.56,52.56,6.85,-15.2082
342,souillac,-20.5167, ,1627344729,71,79,66.36,66.36,14.2,57.5167
345,esperance,-33.8667, ,1627344423,35,66,55.24,55.24,34.34,121.9
346,iqaluit,63.7506, ,1627344730,72,81,49.69,49.69,7.63,-68.5145
347,guerrero negro,27.9769, ,1627344384,0,61,75.16,75.16,16.04,-114.0611
348,malanje,-9.5402, ,1627344730,52,28,64.42,64.42,2.86,16.341
349,saint-paul,-21.0096, ,1627344730,22,73,64.49,62.71,4.32,55.2707
351,kaitangata,-46.2817, ,1627344159,58,73,48.61,48.61,8.63,169.8464
352,laguna,38.421, ,1627344235,1,27,97.25,77.11,5.01,-121.4238
353,yulara,-25.2406, ,1627344483,35,20,64.24,64.24,12.66,130.9889
354,taonan,45.3333, ,1627344732,100,93,72.37,72.37,5.35,122.7833
355,shunyi,40.125, ,1627344732,90,94,78.84,75.15,4.47,116.6453
357,oranjemund,-28.55, ,1627344500,0,67,59,59,6.62,16.4333
358,jaguarao,-32.5661, ,1627344732,98,85,50,50,10.02,-53.3758
359,novi knezevac,46.05, ,1627344733,60,51,76.68,76.68,8.99,20.1
360,ilulissat,69.2167, ,1627344464,40,58,53.62,53.62,6.91,-51.1
361,byron bay,-28.65, ,1627344501,0,48,66.06,60.91,1.1,153.6167
362,karlstad,59.3793, ,1627344733,80,88,64.96,64.96,6.91,13.5036
363,talnakh,69.4865, ,1627344485,78,65,72.66,72.66,8.08,88.3972
364,santa cruz,-17.8, ,1627344693,20,65,78.26,78.26,13.8,-63.1667
365,yerbogachen,61.2767, ,1627344341,50,55,75.49,75.49,6.44,108.0108
366,san juan bautista,-14.0108, ,1627344734,0,56,60.17,59.63,1.57,-75.7358
367,palmer,42.1584, ,1627344478,29,58,78.37,71.19,4.09,-72.3287
368,manacapuru,-3.2997, ,1627344486,92,66,79.41,79.41,3.6,-60.6206
369,valkeala,60.9401, ,1627344734,0,59,64.8,61.3,1.14,26.7979
370,at-bashi,41.1702, ,1627344735,23,50,59.5,59.5,0.78,75.8106
371,tiarei,-17.5333, ,1627344735,49,75,84.22,82,7.49,-149.3333
372,asfi,32.2994, ,1627344735,13,84,69.42,69.42,17.96,-9.2372
373,jerome,42.7241, ,1627344735,1,18,103.05,99.95,0,-114.5186
374,ponta delgada,37.7333, ,1627344281,75,94,68.72,68.72,8.05,-25.6667
375,olinda,-8.0089, ,1627344736,29,83,75.47,75.47,8.88,-34.8553
